#k-distance eigenvalue[eV]
0.00000000 -19.66370000
0.02583384 -19.66260000
0.05166769 -19.65930000
0.07750153 -19.65370000
0.10333535 -19.64590000
0.12916919 -19.63590000
0.15500303 -19.62390000
0.18083688 -19.60970000
0.20667072 -19.59360000
0.23250456 -19.57550000
0.25833841 -19.55560000
0.28417223 -19.53400000
0.31000607 -19.51080000
0.33583991 -19.48600000
0.36167376 -19.45990000
0.38750760 -19.43270000
0.41334144 -19.40440000
0.43917528 -19.37520000
0.46500910 -19.34540000
0.49084295 -19.31510000
0.51667679 -19.28440000
0.54251063 -19.25380000
0.56834448 -19.22330000
0.59417832 -19.19320000
0.62001216 -19.16370000
0.64584601 -19.13510000
0.67167983 -19.10740000
0.69751367 -19.08090000
0.72334751 -19.05570000
0.74918135 -19.03200000
0.77501520 -19.00990000
0.80084904 -18.98940000
0.82668288 -19.00490000
0.85251670 -19.02110000
0.87835055 -19.03620000
0.87835055 -19.03620000
0.90873888 -19.05250000
0.93912719 -19.06720000
0.96951552 -19.08020000
0.99990383 -19.09130000
1.03029216 -19.10050000
1.06068047 -19.10760000
1.09106880 -19.11270000
1.12145711 -19.11580000
1.15184544 -19.11690000
1.17792937 -19.12000000
1.20401330 -19.12910000
1.23009723 -19.14310000
1.25618116 -19.16090000
1.28226508 -19.18140000
1.30834901 -19.20400000
1.33443294 -19.22790000
1.36051687 -19.25290000
1.38660080 -19.27840000
1.41268473 -19.30420000
1.43876866 -19.33020000
1.46485258 -19.35610000
1.49093651 -19.38160000
1.51702044 -19.40680000
1.54310437 -19.43140000
1.56918830 -19.45530000
1.59527223 -19.47830000
1.62135615 -19.50050000
1.64744008 -19.52150000
1.67352401 -19.54140000
1.69960794 -19.56010000
1.72569187 -19.57740000
1.75177580 -19.59330000
1.77785973 -19.60780000
1.80394365 -19.62070000
1.83002758 -19.63190000
1.85611151 -19.64150000
1.88219544 -19.64950000
1.90827937 -19.65570000
1.93436330 -19.66020000
1.96044723 -19.66280000
1.98653115 -19.66370000
2.01262252 -19.66320000
2.03871389 -19.66190000
2.06480525 -19.65970000
2.09089662 -19.65650000
2.11698799 -19.65250000
2.14307935 -19.64770000
2.16917072 -19.64220000
2.19526207 -19.63590000
2.22135344 -19.62900000
2.24744480 -19.62150000
2.27353617 -19.61350000
2.29962753 -19.60510000
2.32571890 -19.59640000
2.35181027 -19.58750000
2.37790163 -19.57830000
2.40399300 -19.56930000
2.43008437 -19.56030000
2.45617573 -19.55160000
2.48226710 -19.54310000
2.50835846 -19.53510000
2.53444983 -19.52750000
2.56054118 -19.52050000
2.58663255 -19.51430000
2.61272391 -19.50900000
2.63881528 -19.50450000
2.66490665 -19.50090000
2.69099801 -19.49830000
2.71708938 -19.49670000
2.74318075 -19.49610000
2.77053016 -19.49510000
2.79787956 -19.49190000
2.82522898 -19.48670000
2.85257840 -19.47930000
2.87992780 -19.47000000
2.90727721 -19.45860000
2.93462663 -19.44540000
2.96197605 -19.43030000
2.98932544 -19.41360000
3.01667486 -19.39520000
3.04402428 -19.37530000
3.07137367 -19.35400000
3.09872309 -19.33140000
3.12607251 -19.30780000
3.15342193 -19.28320000
3.18077132 -19.25790000
3.20812074 -19.23200000
3.23547016 -19.20570000
3.26281955 -19.17930000
3.29016897 -19.15290000
3.29016897 -19.15290000
3.31646710 -19.12770000
3.34276525 -19.10290000
3.36906338 -19.07870000
3.39536153 -19.05530000
3.42165966 -19.03280000
3.44795781 -19.01130000
3.47425594 -18.99090000
3.50055409 -19.00720000
3.52685222 -19.02800000
3.55315038 -19.04800000
3.57944850 -19.06690000
3.60574666 -19.08470000
3.63204478 -19.10130000
3.65834294 -19.11650000
3.68464107 -19.13040000
3.71093922 -19.14280000
3.73723735 -19.15370000
3.76353550 -19.16300000
3.78983363 -19.17070000
3.81613178 -19.17670000
3.84242991 -19.18100000
3.86872806 -19.18360000
3.89502619 -19.18450000
3.92136842 -19.18790000
3.94771064 -19.19760000
3.97405287 -19.21290000
4.00039509 -19.23240000
4.02673731 -19.25510000
4.05307954 -19.28010000
4.07942177 -19.30650000
4.10576400 -19.33370000
4.13210622 -19.36130000
4.15844845 -19.38890000
4.18479067 -19.41620000
4.21113289 -19.44290000
4.23747512 -19.46870000
4.26381735 -19.49350000
4.29015958 -19.51710000
4.31650181 -19.53930000
4.34284402 -19.56000000
4.36918625 -19.57900000
4.39552848 -19.59630000
4.42187070 -19.61180000
4.44821293 -19.62540000
4.47455516 -19.63700000
4.50089739 -19.64660000
4.52723960 -19.65410000
4.55358183 -19.65940000
4.57992406 -19.66260000
4.60626628 -19.66370000
4.60626628 -19.11680000
4.63235025 -19.12000000
4.65843422 -19.12900000
4.68451819 -19.14310000
4.71060216 -19.16080000
4.73668613 -19.18140000
4.76277010 -19.20400000
4.78885407 -19.22790000
4.81493805 -19.25290000
4.84102202 -19.27840000
4.86710599 -19.30420000
4.89318996 -19.33020000
4.91927393 -19.35610000
4.94535790 -19.38160000
4.97144187 -19.40680000
4.99752584 -19.43140000
5.02360981 -19.45530000
5.04969378 -19.47830000
5.07577775 -19.50040000
5.10186172 -19.52150000
5.12794569 -19.54140000
5.15402966 -19.56010000
5.18011363 -19.57740000
5.20619760 -19.59330000
5.23228157 -19.60780000
5.25836554 -19.62070000
5.28444951 -19.63190000
5.31053348 -19.64150000
5.33661745 -19.64950000
5.36270142 -19.65570000
5.38878539 -19.66020000
5.41486936 -19.66280000
5.44095333 -19.66370000
5.46729554 -19.66260000
5.49363776 -19.65940000
5.51997998 -19.65410000
5.54632218 -19.64660000
5.57266440 -19.63700000
5.59900661 -19.62540000
5.62534883 -19.61180000
5.65169105 -19.59630000
5.67803326 -19.57900000
5.70437548 -19.56000000
5.73071768 -19.53920000
5.75705990 -19.51710000
5.78340212 -19.49350000
5.80974433 -19.46870000
5.83608655 -19.44290000
5.86242876 -19.41620000
5.88877097 -19.38890000
5.91511318 -19.36130000
5.94145540 -19.33370000
5.96779762 -19.30640000
5.99413983 -19.28010000
6.02048205 -19.25510000
6.04682427 -19.23240000
6.07316647 -19.21290000
6.09950869 -19.19760000
6.12585090 -19.18780000
6.15219312 -19.18440000

0.00000000 -18.50370000
0.02583384 -18.50450000
0.05166769 -18.50670000
0.07750153 -18.51040000
0.10333535 -18.51560000
0.12916919 -18.52210000
0.15500303 -18.53020000
0.18083688 -18.53960000
0.20667072 -18.55030000
0.23250456 -18.56240000
0.25833841 -18.57560000
0.28417223 -18.59010000
0.31000607 -18.60570000
0.33583991 -18.62240000
0.36167376 -18.64000000
0.38750760 -18.65840000
0.41334144 -18.67760000
0.43917528 -18.69760000
0.46500910 -18.71810000
0.49084295 -18.73910000
0.51667679 -18.76040000
0.54251063 -18.78200000
0.56834448 -18.80370000
0.59417832 -18.82540000
0.62001216 -18.84710000
0.64584601 -18.86860000
0.67167983 -18.88990000
0.69751367 -18.91060000
0.72334751 -18.93090000
0.74918135 -18.95060000
0.77501520 -18.96950000
0.80084904 -18.98760000
0.82668288 -18.97070000
0.85251670 -18.95360000
0.87835055 -18.93830000
0.87835055 -18.93830000
0.90873888 -18.92250000
0.93912719 -18.90890000
0.96951552 -18.89750000
0.99990383 -18.88810000
1.03029216 -18.88070000
1.06068047 -18.87500000
1.09106880 -18.87100000
1.12145711 -18.86870000
1.15184544 -18.86790000
1.17792937 -18.86520000
1.20401330 -18.85770000
1.23009723 -18.84620000
1.25618116 -18.83180000
1.28226508 -18.81550000
1.30834901 -18.79800000
1.33443294 -18.77990000
1.36051687 -18.76160000
1.38660080 -18.74330000
1.41268473 -18.72520000
1.43876866 -18.70740000
1.46485258 -18.68990000
1.49093651 -18.67310000
1.51702044 -18.65690000
1.54310437 -18.64130000
1.56918830 -18.62640000
1.59527223 -18.61220000
1.62135615 -18.59870000
1.64744008 -18.58610000
1.67352401 -18.57420000
1.69960794 -18.56330000
1.72569187 -18.55310000
1.75177580 -18.54380000
1.77785973 -18.53550000
1.80394365 -18.52810000
1.83002758 -18.52170000
1.85611151 -18.51620000
1.88219544 -18.51170000
1.90827937 -18.50820000
1.93436330 -18.50570000
1.96044723 -18.50420000
1.98653115 -18.50370000
2.01262252 -18.50380000
2.03871389 -18.50390000
2.06480525 -18.50420000
2.09089662 -18.50460000
2.11698799 -18.50520000
2.14307935 -18.50590000
2.16917072 -18.50670000
2.19526207 -18.50760000
2.22135344 -18.50870000
2.24744480 -18.50980000
2.27353617 -18.51110000
2.29962753 -18.51240000
2.32571890 -18.51380000
2.35181027 -18.51520000
2.37790163 -18.51670000
2.40399300 -18.51830000
2.43008437 -18.51980000
2.45617573 -18.52140000
