#k-distance eigenvalue[eV]
0.00000000 -105.63680000
0.02612172 -105.63680000
0.05224343 -105.63680000
0.07836515 -105.63670000
0.10448686 -105.63670000
0.13060858 -105.63670000
0.15673028 -105.63670000
0.18285201 -105.63660000
0.20897371 -105.63660000
0.23509543 -105.63650000
0.26121714 -105.63650000
0.28733886 -105.63650000
0.31346057 -105.63640000
0.33958229 -105.63630000
0.36570400 -105.63630000
0.39182572 -105.63620000
0.41794742 -105.63610000
0.44406915 -105.63600000
0.47019085 -105.63600000
0.49631257 -105.63590000
0.52243428 -105.63580000
0.54855600 -105.63570000
0.57467771 -105.63560000
0.60079943 -105.63550000
0.62692113 -105.63540000
0.65304286 -105.63530000
0.67916456 -105.63520000
0.70528629 -105.63510000
0.73140799 -105.63500000
0.75752971 -105.63490000
0.78365142 -105.63470000
0.80977314 -105.63460000
0.83589485 -105.63450000
0.86201657 -105.63440000
0.88813829 -105.63440000
0.91426000 -105.63440000
0.94038172 -105.63440000
0.96650342 -105.63440000
0.99262515 -105.63440000
1.01874685 -105.63440000
1.04486857 -105.63440000
1.07099028 -105.63440000
1.09711200 -105.63440000
1.12323371 -105.63440000
1.14935543 -105.63440000
1.17547714 -105.63440000
1.20159886 -105.63440000
1.22772056 -105.63450000
1.25384229 -105.63450000
1.27996399 -105.63450000
1.30608571 -105.63450000
1.33220742 -105.63450000
1.35832914 -105.63450000
1.38445085 -105.63450000
1.41057257 -105.63450000
1.43669428 -105.63450000
1.46281600 -105.63450000
1.48893770 -105.63450000
1.51505943 -105.63450000
1.54118113 -105.63450000
1.56730285 -105.63450000
1.59342456 -105.63450000
1.61954628 -105.63450000
1.64566799 -105.63450000
1.67178971 -105.63450000
1.69791141 -105.63450000
1.72403314 -105.63450000
1.74997092 -105.63450000
1.77590870 -105.63450000
1.80184646 -105.63450000
1.82778424 -105.63450000
1.85372202 -105.63450000
1.87965981 -105.63460000
1.90559759 -105.63460000
1.93153535 -105.63460000
1.95747313 -105.63470000
1.98341091 -105.63470000
2.00934869 -105.63480000
2.03528645 -105.63480000
2.06122423 -105.63490000
2.08716202 -105.63490000
2.11309980 -105.63500000
2.13903758 -105.63510000
2.16497534 -105.63510000
2.19091312 -105.63520000
2.21685090 -105.63530000
2.24278869 -105.63540000
2.26872647 -105.63540000
2.29466423 -105.63550000
2.32060201 -105.63560000
2.34653979 -105.63570000
2.37247757 -105.63570000
2.39841533 -105.63580000
2.42435311 -105.63590000
2.45029089 -105.63600000
2.47622868 -105.63610000
2.50216646 -105.63610000
2.52810422 -105.63620000
2.55404200 -105.63620000
2.57997978 -105.63630000
2.60591756 -105.63640000
2.63185535 -105.63640000
2.65779310 -105.63650000
